	Country	City	Latitude	Longitude	Temperature (F)	Humidity (%)	Cloudiness (%)	Wind Speed (mph)
248	ru	belyy gorodok	56.965	37.5125	27.88	92	68	8.63
249	hu	ulles	46.336114	19.844544	50	81	75	14.99
250	ph	san roque	15.261463000000001	120.651831	84.2	62	75	11.41
251	cn	fuyang	32.9	115.816667	62.12	71	0	7.63
252	id	sepatan	-6.118889	106.575	87.8	70	20	3.36
253	ie	lifford	54.831944400000005	-7.483611099999999	53.39	98	92	11.21
254	us	dallas	33.9236111	-84.8408333	60.8	100	1	5.82
255	ca	devon	53.36666700000001	-113.733333	44.6	51	75	6.93
256	bd	naral	23.1666667	89.5	82.1	83	0	4.61
257	us	fremont	41.4333333	-96.4977778	53.6	32	90	12.75
258	ro	movila miresei	45.216667	27.6	58.21	84	92	13.44
259	cz	usti	50.666667	14.033332999999999	48.2	93	90	8.05
260	br	remigio	-6.933333	-35.783333	69.8	94	75	8.05
261	dk	billund	55.731156999999996	9.113309	51.8	93	100	8.05
262	de	giengen	48.616667	10.25	46.4	87	92	3.36
263	lk	dambulla	7.86	80.6516667	84.44	66	36	8.41
264	in	lasalgaon	20.15	74.233333	76.61	56	0	2.59
265	il	ibtin	32.761666999999996	35.100833	59	82	20	4.7
266	ch	visp	46.294523999999996	7.884736	41	86	0	1.12
267	de	luckenwalde	52.083333	13.166667000000002	46.4	100	80	4.7
268	ca	nicolet	46.216667	-72.6	56.59	80	68	9.75
269	fr	troyes	48.300727	4.085244	55.4	93	75	6.93
270	gh	obuasi	6.2	-1.6666667000000002	71.75	96	0	3.38
271	gt	ixtahuacan	15.416667000000002	-91.766667	61.67	91	88	1.7
272	am	fantan	40.3941667	44.685	35.6	80	0	2.48
273	in	sriperumbudur	12.968889	79.94888900000001	86	84	20	2.24
274	de	sonneberg	50.35	11.166667	44.75	99	80	5.5
275	gr	vilia	38.1666667	23.3333333	59	93	75	6.62
276	hn	wampusirpi	15.183333300000001	-84.6166667	75.89	98	92	3.38
277	cn	daxian	31.215921	107.500922	61.49	78	88	7.4
278	cz	znojmo	48.856116	16.056411999999998	48.2	87	90	13.87
279	in	sindi	20.8	78.866667	78.8	54	0	4.94
280	ro	rusca montana	45.566666999999995	22.45	47.41	99	92	2.93
281	mx	apaseo el grande	20.566667000000002	-100.7	59	77	40	11.41
282	au	hervey bay	-25.285	152.873	71.39	99	0	8.08
283	tn	naftah	33.873094	7.877652	64.4	48	20	5.82
284	py	san joaquin	-24.95	-56.11666700000001	61.85	67	0	4.05
285	mx	chapulhuacan	21.166667	-98.9	62.89	98	92	0.58
286	ph	plaridel	15.65	121.0	82.28	80	0	3.04
287	co	san juan de arama	3.346389	-73.889444	67.7	98	76	1.92
288	ph	santa ana	9.192778	125.564444	82.01	97	64	9.19
289	pt	cascais	38.69745	-9.423141000000001	62.6	55	0	6.93
290	us	minot	48.2325	-101.2958333	42.8	60	1	12.75
291	us	port washington	40.8255556	-73.6986111	71.6	78	90	18.34
292	de	waltershausen	50.9	10.566667	48.2	93	0	10.29
293	zm	mazabuka	-15.866666699999998	27.766666700000002	71.26	43	0	10.54
294	ph	dagatan	13.7389	121.199	82.69	91	20	11.43
295	ni	sebaco	12.851111099999999	-86.0994444	74.63	100	92	2.37
296	ua	kadubivtsi	48.583372	25.768710000000002	42.8	100	75	8.95
297	ec	alausi	-2.2	-78.83333329999999	47.36	95	64	0.69
298	ca	canora	51.633333	-102.43333299999999	33.8	80	1	9.17
299	cd	kaniama	-7.516667	24.183332999999998	66.35	85	0	2.15
300	in	nazira	26.916666999999997	94.733333	73.4	94	75	4.7
301	in	sonegaon	20.65	78.68333299999999	78.8	54	8	4.38
302	nc	poya	-21.35	165.15	71.84	100	48	14.67
303	co	tangua	1.094727	-77.394821	52.94	92	48	1.7
304	gr	asopos	36.7333333	22.8666667	64.24	99	20	21.5
305	ro	livezi	46.4	26.733333000000002	50	100	90	9.17
306	in	sundargarh	22.116667	84.033333	81.61	76	0	3.94
307	ru	voznesenskoye	54.89	42.756944	28.33	87	64	4.16
308	pe	santa eulalia	-11.85	-76.6833333	61.18	81	48	1.59
309	cz	nemcice nad hanou	49.342743	17.209160999999998	48.2	76	0	12.75
310	ph	buenavista	12.176389	123.79055600000001	83.23	98	48	11.77
311	ph	tugaya	7.882772999999999	124.174003	80.84	71	68	3.04
312	ru	romanovka	60.044301000000004	30.713996999999996	33.8	90	90	6.71
313	us	oak ridge	28.4708333	-81.4247222	75.2	94	90	6.93
314	es	huelva	37.271446999999995	-6.949464	60.19	86	0	5.61
315	ro	seini	47.75	23.283333	48.2	93	88	12.75
316	it	domodossola	46.116667	8.283333	50	53	0	4.7
317	th	sansai	18.83075	99.00380600000001	80.6	78	75	6.93
318	gr	magoula	37.0833333	22.4166667	53.6	93	75	2.48
319	co	girardot	4.298659	-74.804681	73.4	83	20	2.24
320	cd	boma	-5.85	13.05	74.09	94	88	4.16
321	gb	banbury	52.05	-1.333333	59	93	75	5.82
322	ru	akhtyrskiy	44.8546	38.3031	44.6	93	75	8.95
323	ru	levashovo	60.103688	30.20683	33.8	100	90	6.71
324	td	dourbali	11.8094444	15.8611111	65.99	55	0	3.71
325	sk	zeliezovce	48.05	18.6666667	45.79	92	8	14.12
326	hn	santa cruz	13.258055599999999	-87.3483333	75.35	100	92	4.38
327	es	durango	43.171234999999996	-2.633795	48.2	87	0	2.24
328	sa	umm lajj	25.021264000000002	37.268502000000005	69.95	100	0	1.59
329	br	campo alegre	-9.8	-36.35	70.49	93	80	6.06
330	ro	francesti	45.0	24.1	51.41	98	92	13.78
331	th	det udom	14.905978	105.078364	82.4	74	75	5.82
332	us	prichard	30.738611100000004	-88.07888890000001	57.2	87	1	6.17
333	br	areia branca	-10.766667	-37.316666999999995	77	78	40	10.29
334	td	bokoro	12.3766667	17.0580556	63.2	53	0	2.71
335	ph	lonoy	11.513611000000001	122.729722	78.14	100	92	5.06
336	ro	fantanele	46.416667	24.75	51.8	87	92	6.93
337	ru	chulym	55.099722	80.957222	30.44	82	36	14.23
338	ph	carranglan	15.9613	121.0641	72.83	89	48	2.71
339	ru	karsun	54.199408999999996	46.982696999999995	25.63	89	80	4.5
340	ph	calaba	15.2953	120.8701	84.17	94	0	4.5
341	de	waldkirchen	48.733333	13.6	43.18	99	92	8.52
342	it	cabras	39.93	8.531389	58.16	86	0	5.61
343	bg	kostinbrod	42.8166667	23.216666699999998	46.4	93	90	11.41
344	gr	elati	39.5038889	21.534722199999997	39.04	100	48	2.37
345	us	yeadon	39.938888899999995	-75.25583329999999	71.6	83	90	11.41
346	tz	kigoma	-4.8769444	29.6266667	77.29	96	92	3.04
347	us	susanville	40.416388899999994	-120.65194440000002	51.8	71	1	2.59
348	ru	priiskovyy	54.656110999999996	88.68722199999999	19.06	75	8	2.15
349	ro	insuratei	44.916667	27.6	58.21	84	92	13.44
350	ph	batangas	13.7567	121.0584	82.69	91	20	11.43
351	br	cambe	-23.233333	-51.25	64.4	82	0	11.41
352	ni	santa teresa	11.733333300000002	-86.2166667	82.4	83	40	2.04
353	gt	santa maria de jesus	14.518332999999998	-90.726667	68	88	75	4.7
354	co	puerto guzman	0.9645379999999999	-76.407953	66.08	92	76	2.37
355	us	woburn	42.4791667	-71.1527778	68	93	90	3.36
356	it	spoleto	42.733333	12.733333	40.39	73	0	4.38
357	mm	thongwa	16.7619444	96.5277778	80.6	94	75	4.7
358	pl	augustow	53.844711	22.980133	31.97	100	0	10.65
359	bt	phuntsholing	26.85	89.3833333	56.99	96	80	1.48
360	ru	tankhoy	51.552778	105.130556	35.66	100	32	1.36
361	ru	staraya	59.927488000000004	30.627645	33.8	90	90	6.71
362	ru	togul	53.465	85.9128	32.74	86	0	4.5
363	fr	auray	47.670252000000005	-2.991828	59	100	90	12.75
364	pa	changuinola	9.433333300000001	-82.5166667	75.71	100	80	1.7
365	gr	zakharo	37.4833333	21.65	60.8	93	75	15.01
366	br	cicero dantas	-10.6	-38.383333	70.54	85	64	7.52
367	ro	bucecea	47.766667	26.433333	42.8	100	90	13.87
368	ws	faleula	-13.8	-171.8	84.2	70	75	5.82
369	pe	huallanca	-9.85	-76.9333333	42.59	100	64	2.04
370	cn	yichang	30.77135	111.321458	63.47	94	12	5.39
371	es	arenys de mar	41.581905	2.5493580000000002	57.2	93	0	3.36
372	es	boadilla del monte	40.402784000000004	-3.8756230000000005	46.4	81	0	2.24
373	gb	hemel hempstead	51.75	-0.466667	59	93	90	8.05
374	si	domzale	46.1380556	14.597777800000003	55.4	37	40	13.87
375	fr	bordeaux	44.840439	-0.5805	50	93	0	4.94
376	py	belen	-23.466110999999998	-57.26194399999999	75.89	69	92	3.38
377	ca	fort nelson	58.816667	-122.53333300000001	37.4	93	90	6.93
378	ru	bytosh	53.901389	34.123889	20.9	84	44	7.96
379	ke	garissa	-0.45694440000000003	39.658333299999995	77.74	66	100	13
380	tr	ceyhan	37.024722	35.8175	59	87	0	2.24
381	ru	mgachi	51.05	142.26666699999998	41.96	82	0	15.57
382	it	cernusco sul naviglio	45.516667	9.316667	51.8	66	0	11.41
383	es	cornella	41.352784	2.070769	57.2	93	0	3.36
384	br	quirinopolis	-18.533333	-50.5	72.11	90	88	6.17
385	br	itapicuru	-11.316667	-38.25	68.87	91	12	6.51
386	ro	buza	46.9	24.15	51.8	87	75	8.05
387	ca	one hundred mile house	51.65	-121.28333300000001	43.04	67	56	8.63
388	ru	ryazanskaya	44.955279	39.588938	44.6	93	75	8.95
389	at	korneuburg	48.35	16.333333	50	76	90	20.8
390	ru	kambileyevskoye	43.078578	44.752165000000005	38.9	100	68	2.15
391	ru	navoloki	57.46571899999999	41.963443	26.26	92	76	6.73
392	br	passa quatro	-22.383333	-44.966667	59.42	99	92	2.93
393	de	rheinfelden	47.566666999999995	7.8	48.2	93	75	3.36
394	ru	tyarlevo	59.700556000000006	30.456389	33.8	90	90	6.71
395	it	ragusa	36.916667	14.733332999999998	60.8	55	20	11.41
396	us	cleveland	33.743888899999995	-90.7247222	62.6	62	1	6.93
397	ro	bethausen	45.833056	21.952778	48.2	93	92	20.8
398	bw	bokaa	-24.45	26.0166667	66.2	88	0	4.7
399	it	ladispoli	41.933333000000005	12.083333	50	81	0	3.36
400	ro	ciocile	44.816666999999995	27.233333000000002	57.04	87	92	14.67
401	ro	brancovenesti	46.866667	24.766667	51.8	87	92	6.93
402	gr	nea malgara	40.609444399999994	22.681666699999997	55.4	62	40	12.75
403	hn	el escano de tepale	14.75	-87.0666667	66.53	100	92	2.15
404	lk	point pedro	9.816666699999999	80.2333333	82.46	98	80	5.5
405	au	healesville	-37.65395	145.517181	69.8	49	92	12.75
406	ph	gigaquit	9.5951	125.6968	81.29	100	76	6.96
407	mx	canatlan	24.516667	-104.783333	64.4	45	5	4.7
408	us	holt	42.640555600000006	-84.51527779999999	53.6	87	90	20.8
409	fi	kangasala	61.466667	24.083333	30.2	92	0	1.12
410	us	lewisville	33.046111100000005	-96.9938889	69.8	48	20	9.17
411	co	floresta	5.859026999999999	-72.918818	53.39	92	76	2.04
412	ca	baie-comeau	49.216667	-68.15	37.4	100	1	4.7
413	br	sao domingos do prata	-19.866667	-42.966667	70.76	68	76	4.72
414	ro	bicaz chei	46.816666999999995	25.883333	40.93	100	92	2.59
415	es	godella	39.533333	-0.416667	55.4	87	0	3.36
